Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Delivery fee","fee",,4.80,"https://stasis.hackclub-assets.com/images/1776973381117-m93gzx.jpg","Aliexpress"
"Bambu lab wireless mouse components kit 002","main components of the mouse",,4.97,"https://aliexpress.ru/item/1005008778644042.html?sku_id=12000046836867948&spm=a2g2w.productlist.search_results.0.673e634dq3P4cZ","Aliexpress"
"Case - Base","bottom part of the mouse",,2.00,"https://stasis.hackclub-assets.com/images/1776973380899-c17smu.jpg","Hack Club Print Legion"
"Case - Top shell","main part of mouse",,5.00,"https://stasis.hackclub-assets.com/images/1776973367624-j646v4.jpg","Hack Club Print Legion"
